subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
SAN BERNARDINO VALLEY,9,4.197786926783578,0.9574396296513492,3.6008329528110523,4.997441643147355,14
SAN RAFAEL,9,4.080340542434029,0.921487753825171,3.5438805384137684,4.842825018075411,14
TIGER WASH,9,4.465038837464429,0.9586016626081959,3.757801022680126,5.34762626553404,14
VIRGIN RIVER,9,4.833087942285076,0.9183499440212151,4.076406613370587,5.752123207405647,14
SHIVWITS PLATEAU,9,4.784994126759423,0.9145590651481307,4.092575744421645,5.641762655995568,14
KANAB PLATEAU,9,4.811387916328404,0.9257743666358542,4.040462703740985,5.6798685124838135,14
LITTLE COLORADO RIVER PLATEAU,9,4.7034346889920915,0.9413507023385239,3.925608058990841,5.55386889585285,14
PARIA,9,4.925232421420503,0.9419291780777762,4.086484450950553,5.851421238276975,14
GRAND WASH,9,4.769817436412651,0.9197984317119539,4.059239014888872,5.678239061693257,14
COCONINO PLATEAU,9,4.722677275462572,0.9272991268797709,3.9570727582183287,5.51783901157904,14
HUALAPAI VALLEY INA,9,4.696751998572253,0.9067905367430847,4.021326277794143,5.564924942809655,14
MEADVIEW,9,4.746546063881146,0.9290501228184246,4.059575666074107,5.611876037585722,14
DETRITAL VALLEY,9,4.76971347423658,0.9429309438696417,4.043769557456452,5.68911484255191,14
LAKE MOHAVE,9,4.788501816664179,0.9754540515637934,4.023108799094961,5.815376038191329,14
PEACH SPRINGS,9,4.673355993280253,0.9046036022642795,3.9706803485394433,5.466207646350775,14
VERDE RIVER,9,4.532727340990053,0.924599869597857,3.799047551993635,5.406280926773646,14
BIG SANDY,9,4.572657327101943,0.9091709855453939,3.886348815605336,5.385077954266197,14
SACRAMENTO VALLEY,9,4.579509626394452,0.9290614267939551,3.89723958626626,5.510339642719269,14
JOSEPH CITY INA,9,4.657059980006614,0.951484951291192,3.925862720877779,5.472046434457207,14
BILL WILLIAMS,9,4.51998617191081,0.9378029180583954,3.8167074586745633,5.391684670694485,14
PRESCOTT AMA,9,4.514616291987184,0.9156576663860381,3.7916236824418474,5.355608722092529,14
LAKE HAVASU,9,4.665606042957044,0.981851623379422,3.898914173305665,5.740198100296742,14
AGUA FRIA,9,4.468886178863371,0.9368264134467368,3.760105713841348,5.372908409066915,14
UPPER HASSAYAMPA,9,4.418330282076654,0.9354198278839505,3.7267445836251767,5.30581991157824,14
TONTO CREEK,9,4.450670399133738,0.9297615046660596,3.7646150916213355,5.311263234335676,14
SALT RIVER,9,4.4184070711826475,0.9134933071619566,3.7576937337585377,5.183154024984054,14
PARKER,9,4.644001481792881,0.9839655139815817,3.827678764973634,5.72057778408634,14
BUTLER VALLEY,9,4.488860524909195,0.9540706086356976,3.7874507356570244,5.4234054248695,14
MCMULLEN VALLEY,9,4.513102547885183,0.9640936553209178,3.791194130892284,5.426038579728018,14
PHOENIX AMA,9,4.419225818393575,0.972019622093033,3.746853458801825,5.365928755472003,14
RANEGRAS PLAIN,9,4.559821983560353,0.9599324507060403,3.801360338986192,5.49860138279387,14
MORENCI,9,4.49597319078713,0.9038768702258471,3.842281445251783,5.24125742447679,14
HARQUAHALA INA,9,4.485865452651415,0.9780055934765792,3.7185759822087285,5.480905473765254,14
SAFFORD,9,4.419664373144522,0.9408732203794525,3.7830498893412305,5.168992653406422,14
LOWER GILA,9,4.3833803422729805,0.9739944831481222,3.532554603111916,5.404121272556685,14
BONITA CREEK,9,4.474941014276179,0.9357638517421949,3.826572487735788,5.239503238213655,14
LOWER SAN PEDRO,9,4.270486763079516,0.9252756899424124,3.6883806725393313,5.074597871306891,14
PINAL AMA,9,4.29143566848168,0.9705712035834516,3.653791757973847,5.139605405556321,14
DRIPPING SPRING WASH,9,4.299370185856614,0.9204009774282418,3.716222975389111,5.125603528051147,14
GILA BEND,9,4.345792855941711,0.9712951958268508,3.6005047573606643,5.305242161452413,14
DONNELLY WASH,9,4.26425498859846,0.9308169970468335,3.6869548605532643,5.126113204975298,14
DUNCAN VALLEY,9,4.48703018194157,0.9537824428607586,3.819412616140874,5.205731276640305,14
ARAVAIPA CANYON,9,4.282541924811625,0.9107624208899109,3.7044590223633813,5.055793430226933,14
YUMA,9,4.379243137025399,0.974406983721575,3.480224246852405,5.4115152062026155,14
TUCSON AMA,9,4.162604258009884,0.9382950073123968,3.5827984998763722,4.991836192256373,14
WILLCOX AMA,9,4.267723076910936,0.9284577721827029,3.683664334114316,5.010003827746698,14
SAN SIMON WASH,9,4.160755743472417,0.9579875051150886,3.4608858268564844,5.045534572567514,14
UPPER SAN PEDRO,9,4.1965079130727485,0.9302796731551518,3.6297948075600677,4.949557961356261,14
WESTERN MEXICAN DRAINAGE,9,4.172615328731156,0.9699550003886159,3.3221276242745525,5.190376982750919,14
CIENEGA CREEK,9,4.1454233921186585,0.935643321259505,3.5789810241256985,4.915156109814724,14
DOUGLAS AMA,9,4.212822928877261,0.94629621844177,3.63327660267523,4.9906403877523395,14
SANTA CRUZ AMA,10,5.15208415607942,1.1650233553521183,4.086771068953933,7.028131588942523,14
SAN BERNARDINO VALLEY,10,5.070978944405056,1.1325570965399032,4.063486927385223,6.722409250357053,14
SAN RAFAEL,10,5.059751139200031,1.1166388836533423,3.989310387982454,6.785198624934137,14
TIGER WASH,10,5.393894158871066,1.2970709612061864,4.185112963284547,7.448797595931552,14
VIRGIN RIVER,10,5.566448892343078,1.3741412075552089,4.142799862554379,7.518552628994044,14
SHIVWITS PLATEAU,10,5.591120594606048,1.3496509061257933,4.2050950325346035,7.551396665386829,14
KANAB PLATEAU,10,5.6164623074014255,1.325426114806646,4.264950559582302,7.532514513123602,14
LITTLE COLORADO RIVER PLATEAU,10,5.570981879396958,1.290236944217861,4.222728892977289,7.519518912532817,14
PARIA,10,5.633895848426215,1.332723446570522,4.335812391695295,7.550810259411047,14
