subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
GILA BEND,8,-0.05475495744978953,0.3492123484585884,-0.5035816668073417,0.31772357570563975,14
DONNELLY WASH,8,-0.36248635753749453,0.5332388253858904,-1.0862806406045202,0.24786132699329652,14
DUNCAN VALLEY,8,-0.44851957904767614,0.5307687176767802,-1.1127052089920537,0.25760873054832556,14
ARAVAIPA CANYON,8,-0.518132793115425,0.6055260976981559,-1.2844093239381487,0.3637367506328867,14
YUMA,8,0.05835570046118278,0.16011767465386292,-0.127901321958551,0.2870910325453345,14
TUCSON AMA,8,-0.23770258723314558,0.4686556226085437,-0.7326147178131014,0.4728972313252807,14
WILLCOX AMA,8,-0.5101413328422125,0.6360049694690457,-1.3133155601611122,0.29916756432977953,14
SAN SIMON WASH,8,-0.05959593278312482,0.40881036258851744,-0.4723453259975018,0.5388537841220116,14
UPPER SAN PEDRO,8,-0.3206986803824588,0.5608812944338141,-0.9741849960764482,0.5419972378738283,14
WESTERN MEXICAN DRAINAGE,8,0.03681716297016248,0.2869903908146909,-0.2661038014341039,0.45654067020738087,14
CIENEGA CREEK,8,-0.3838103327425424,0.6104987274154544,-1.0452839365815059,0.64339299374782,14
DOUGLAS AMA,8,-0.36601233367269986,0.5479896409724917,-0.9471935401322452,0.449757513659766,14
SANTA CRUZ AMA,9,0.09088420206602281,0.44460116761236684,-0.3534971812874857,0.7710597850020136,14
SAN BERNARDINO VALLEY,9,-0.3113849262763784,0.5703677394740215,-0.9685983551832746,0.3930068293835098,14
SAN RAFAEL,9,0.06936667182626004,0.5259461535286803,-0.37486303372574414,0.7282364110147098,14
TIGER WASH,9,0.176957713950529,0.3780534103030517,-0.3965996509497812,0.5485563358709348,14
VIRGIN RIVER,9,0.3079997970621321,0.35398739879732577,-0.08668048966695542,0.7394576120566737,14
SHIVWITS PLATEAU,9,0.3726855029712158,0.3953307686503978,-0.06330794194160767,0.9456042286673052,14
KANAB PLATEAU,9,0.3463854337787239,0.410953517480542,-0.028837952017826934,0.8974924603158594,14
LITTLE COLORADO RIVER PLATEAU,9,0.15678514028999116,0.38169343272229755,-0.15352191674193472,0.6347608136286481,14
PARIA,9,0.19641127225848495,0.37145333368070643,-0.15650056263752088,0.6817330576240019,14
GRAND WASH,9,0.31933938947792745,0.33201048969601166,-0.1643960593532057,0.7983982245365836,14
COCONINO PLATEAU,9,0.3251429297327264,0.4839657763176328,-0.09012422254413527,0.9159941911240885,14
HUALAPAI VALLEY INA,9,0.2518320167053846,0.4154994315492035,-0.33328866382447325,0.7663150706069035,14
MEADVIEW,9,0.2552562339304153,0.32502636476488855,-0.16632353927643428,0.6672203574345881,14
DETRITAL VALLEY,9,0.21605678900562633,0.30266613287952965,-0.18555179938562527,0.5282810869645608,14
LAKE MOHAVE,9,0.1547155373285245,0.25343235784592544,-0.2474654714824835,0.414291423403262,14
PEACH SPRINGS,9,0.38549136717519333,0.46455720508804454,-0.19736926033816338,0.910923967864904,14
VERDE RIVER,9,0.20809009069741385,0.6462253123837364,-0.5081417321370182,1.1036587085860574,14
BIG SANDY,9,0.26899411536905543,0.4834956905398005,-0.4204420907761988,0.8414537436769916,14
SACRAMENTO VALLEY,9,0.15857335072662404,0.3790242779764743,-0.3275097363803743,0.5891639824266868,14
JOSEPH CITY INA,9,0.037797084179930315,0.3717351149575529,-0.4057287785955328,0.463692838721942,14
BILL WILLIAMS,9,0.1477843416454039,0.4661454378154844,-0.45340603010571146,0.7658642983787,14
PRESCOTT AMA,9,0.3293332443035745,0.5839544699603086,-0.3039269687462747,1.2196787490839995,14
LAKE HAVASU,9,0.06069746722653268,0.3268009991817526,-0.34716541867214534,0.35765841742410076,14
AGUA FRIA,9,0.1642854609446445,0.681651389796921,-0.7412038180267241,1.070344437129663,14
UPPER HASSAYAMPA,9,0.28492650987487994,0.5504421232500404,-0.43991215476195494,0.9492066523843871,14
TONTO CREEK,9,0.04706793988944945,0.8042020819794955,-0.9308691386680735,0.9761679247326978,14
SALT RIVER,9,0.0310571368861542,0.5945257807302088,-0.6843484607321537,0.6706036027030144,14
PARKER,9,0.07775996056238911,0.2949158671999637,-0.30543156970985397,0.4349928446865525,14
BUTLER VALLEY,9,0.11402872196155077,0.3805583084418373,-0.3324631810293724,0.4903659840645066,14
MCMULLEN VALLEY,9,0.15534707366833334,0.36231663315711077,-0.37333834879913147,0.5859716493746144,14
